iter	Passed	Remaining
917	19659063	23171140
918	19677142	23145800
919	19696801	23122331
920	19713966	23095950
921	19737158	23076634
922	19754715	23050734
923	19780137	23034013
924	19802246	23013422
925	19826278	22995057
926	19845621	22971253
927	19866135	22948811
928	19887907	22927824
929	19907375	22904184
930	19927305	22881084
931	19946823	22857518
932	19968349	22836257
933	19991066	22816355
934	20012802	22795330
935	20034322	22774059
936	20053214	22749804
937	20071789	22725202
938	20091264	22701630
939	20111035	22678402
940	20129350	22653540
941	20147780	22628823
942	20166511	22604457
943	20185366	22580240
944	20206067	22558096
945	20222231	22530900
946	20245438	22511559
947	20267785	22491255
948	20288045	22468636
949	20309400	22447231
950	20329815	22424791
951	20348981	22400979
952	20367347	22376298
953	20385134	22350996
954	20410025	22333483
955	20429477	22310015
956	20449589	22287274
957	20469058	22263840
958	20488298	22240165
959	20506359	22215222
960	20527224	22193325
961	20549936	22173424
962	20572363	22153209
963	20590865	22128771
964	20611434	22106564
965	20631195	22083494
966	20652845	22062450
967	20670265	22036895
968	20688815	22012557
969	20707145	21988000
970	20726416	21964451
971	20744148	21939285
972	20763909	21916273
973	20783861	21893472
974	20801174	21867901
975	20820479	21844437
976	20837677	21818775
977	20857895	21796287
978	20876521	21772143
979	20896182	21749088
980	20916366	21726582
981	20935115	21702594
982	20952732	21677445
983	20972603	21654639
984	20991514	21630849
985	21011774	21608457
986	21032671	21586724
987	21053278	21564694
988	21072545	21541297
989	21091706	21517801
990	21111527	21494986
991	21132920	21473773
992	21150844	21449043
993	21170467	21426046
994	21189089	21402045
995	21209911	21380272
996	21228669	21356424
997	21246632	21331789
998	21265897	21308471
999	21284252	21284252
1000	21306097	21263527
1001	21328590	21243446
1002	21348142	21220437
1003	21369717	21199440
1004	21391505	21178655
1005	21413239	21157813
1006	21436160	21138140
1007	21457127	21116538
1008	21478015	21094859
1009	21504057	21078234
1010	21526699	21058264
1011	21544155	21033227
1012	21561986	21008569
1013	21581335	20985401
1014	21602076	20963591
1015	21625518	20944399
1016	21647691	20923973
1017	21668359	20902091
1018	21686410	20877692
1019	21704650	20853487
1020	21725846	20832128
1021	21744199	20808049
1022	21766245	20787509
1023	21786473	20765232
1024	21806021	20742312
1025	21822598	20716580
1026	21841501	20693067
1027	21860728	20669872
1028	21879378	20646138
1029	21897604	20622016
1030	21917162	20599156
1031	21937926	20577434
1032	21958193	20555249
1033	21976677	20531403
1034	21999818	20511908
1035	22020078	20489725
1036	22040575	20467767
1037	22063035	20447629
1038	22086182	20428124
1039	22105122	20404728
1040	22126928	20383981
1041	22147612	20362200
1042	22167861	20340022
1043	22186409	20316290
1044	22209401	20296629
1045	22230696	20275415
1046	22253102	20255211
1047	22269977	20229979
1048	22290518	20208087
1049	22308864	20184210
1050	22328266	20161298
1051	22347548	20138285
1052	22366263	20114768
1053	22387970	20093946
1054	22406999	20070724
1055	22427477	20048805
1056	22446028	20025170
1057	22468839	20005336
1058	22490966	19984890
1059	22508927	19960747
1060	22528381	19937936
1061	22545414	19912992
1062	22567210	19892263
1063	22592567	19874664
1064	22611091	19851052
1065	22627482	19825580
1066	22648067	19803793
1067	22669100	19782398
1068	22695012	19765253
1069	22715481	19743362
1070	22733801	19719609
1071	22751907	19695680
1072	22770677	19672337
1073	22790893	19650248
1074	22812853	19629664
1075	22831469	19606206
1076	22851868	19584284
1077	22872096	19562219
1078	22890197	19538343
1079	22909460	19515465
1080	22929841	19493546
1081	22951337	19472576
1082	22968999	19448358
1083	22989357	19426430
1084	23007612	19402733
1085	23027901	19380756
1086	23045122	19356206
1087	23065371	19334208
1088	23084703	19311445
1089	23108690	19292576
1090	23129638	19271165
1091	23153684	19252330
1092	23172647	19229269
1093	23192895	19207279
1094	23214128	19186105
1095	23236472	19165849
1096	23254821	19142300
1097	23274450	19119812
1098	23293897	19097180
1099	23312487	19073853
1100	23335232	19053927
1101	23352338	19029401
1102	23373469	19008161
1103	23393881	18986338
1104	23411431	18962199
1105	23431796	18940349
1106	23451507	18917972
1107	23469646	18894336
1108	23489923	18872427
1109	23508369	18849053
1110	23527376	18826136
1111	23547071	18803776
1112	23565782	18780637
1113	23584856	18757794
1114	23605660	18736331
1115	23624121	18713013
1116	23645442	18691966
1117	23669359	18672965
1118	23689165	18650719
1119	23712872	18631542
1120	23733634	18610048
1121	23758161	18591502
1122	23781360	18571908
1123	23797690	18546954
1124	23814317	18522246
1125	23833712	18499701
1126	23854491	18478234
1127	23875132	18456662
1128	23893725	18433511
1129	23916059	18413249
1130	23934473	18389970
1131	23956300	18369318
1132	23974649	18346002
1133	23996603	18325448
1134	24012943	18300613
1135	24034490	18279753
1136	24053245	18256773
1137	24071791	18233641
1138	24091095	18211091
1139	24111380	18189286
1140	24127896	18164647
1141	24145221	18140630
1142	24167632	18120438
1143	24188684	18099225
1144	24206951	18075933
1145	24231457	18057299
1146	24255231	18038110
1147	24278146	18018275
1148	24301336	17998640
1149	24323466	17978214
1150	24342728	17955670
1151	24360619	17932122
1152	24377773	17908043
1153	24399369	17887233
1154	24419629	17865443
1155	24440780	17844306
1156	24458759	17820859
1157	24481602	17800958
1158	24501516	17778926
1159	24523940	17758715
1160	24541484	17734974
1161	24562493	17713743
1162	24580515	17690362
1163	24600252	17668222
1164	24616995	17643940
1165	24634295	17620070
1166	24652544	17596889
1167	24671853	17574470
1168	24691839	17552539
1169	24710582	17529729
1170	24729574	17507102
1171	24747799	17483940
1172	24767449	17461791
1173	24788875	17440895
1174	24811527	17420859
1175	24831516	17398954
1176	24853657	17378555
1177	24872725	17356010
1178	24890554	17332608
1179	24910035	17310363
1180	24929317	17287985
1181	24951069	17267322
1182	24971896	17246018
1183	24995955	17226942
1184	25017661	17206239
1185	25036454	17183535
1186	25056243	17161521
1187	25074866	17138713
1188	25095770	17117468
1189	25114658	17094851
1190	25136727	17074401
1191	25156152	17052157
1192	25174890	17029452
1193	25192451	17005960
1194	25212009	16983822
1195	25228943	16959925
1196	25249297	16938334
1197	25268372	16915888
1198	25287840	16893711
1199	25307470	16871647
1200	25328314	16850394
1201	25347025	16827725
1202	25367636	16806323
1203	25388386	16785013
1204	25409543	16763972
1205	25428121	16741234
1206	25447106	16718770
1207	25465702	16696056
1208	25489628	16676837
1209	25511902	16656531
1210	25532213	16634943
1211	25553867	16614230
1212	25574990	16593172
1213	25597334	16572903
1214	25615369	16549847
1215	25637608	16529510
1216	25659206	16508757
1217	25680032	16487508
1218	25700118	16465785
1219	25718789	16443160
